,date_mutation,valeur_fonciere,surface_reelle_bati,type_local,longitude,latitude
580,2017-07-11,350000,98,Appartement,3.038361,50.624691
581,2017-07-18,174000,44,Appartement,3.036172,50.623652
583,2017-07-28,90000,24,Appartement,3.050901,50.628838
584,2017-07-26,50000,43,Maison,3.112686,50.632739
586,2017-07-25,123000,57,Maison,3.040868,50.632069
588,2017-07-27,70000,87,Maison,3.098781,50.636763
589,2017-07-28,125000,63,Appartement,3.02588,50.615639
590,2017-07-31,120000,48,Appartement,3.050592,50.623736
592,2017-07-24,129000,42,Appartement,3.049261,50.619476
593,2017-07-27,87000,20,Appartement,3.040407,50.623579
594,2017-07-04,167400,79,Appartement,3.032087,50.635547
596,2017-07-27,140000,39,Appartement,3.033295,50.623816
598,2017-07-06,50000,36,Appartement,3.102785,50.631067
600,2017-07-11,149870,69,Appartement,3.058577,50.610868
601,2017-07-21,212000,56,Appartement,3.053518,50.629852
602,2017-07-05,38100,20,Appartement,3.059815,50.622728
603,2017-07-13,118000,31,Appartement,3.074502,50.621315
607,2017-08-02,384000,66,Maison,3.053837,50.625737
610,2017-07-10,410800,87,Maison,3.054137,50.629506
612,2017-07-25,181000,79,Appartement,3.042924,50.633211
614,2017-07-28,193000,100,Maison,3.100903,50.622378
615,2017-07-12,263925,17,Appartement,3.096434,50.632947
616,2017-07-12,263925,18,Appartement,3.096434,50.632947
617,2017-07-12,263925,17,Appartement,3.096434,50.632947
618,2017-07-12,263925,18,Appartement,3.096434,50.632947
619,2017-07-12,263925,18,Appartement,3.096434,50.632947
620,2017-07-12,263925,27,Appartement,3.096434,50.632947
621,2017-07-12,263925,15,Appartement,3.096434,50.632947
623,2017-07-20,210000,20,Appartement,3.072971,50.621211
624,2017-07-20,210000,13,Appartement,3.072971,50.621211
626,2017-07-20,210000,45,Appartement,3.072971,50.621211
627,2017-07-20,210000,20,Appartement,3.072971,50.621211
628,2017-07-20,210000,13,Appartement,3.072971,50.621211
629,2017-07-28,1035000,232,Appartement,3.063642,50.629178
631,2017-07-21,197000,40,Appartement,3.058234,50.639037
633,2017-07-27,119000,40,Appartement,3.045478,50.623893
634,2017-07-27,119000,41,Appartement,3.045478,50.623893
635,2017-07-27,446500,103,Maison,3.03743,50.626599
636,2017-08-01,126150,53,Appartement,3.072455,50.62367
637,2017-07-20,120000,38,Appartement,3.053195,50.637056
638,2017-07-17,64000,15,Appartement,3.049436,50.631839
641,2017-07-20,133000,41,Appartement,3.040407,50.623579
644,2017-07-24,180000,60,Appartement,3.067054,50.623823
645,2017-08-01,95000,29,Maison,3.040915,50.623118
647,2017-08-03,225500,99,Appartement,3.041468,50.626369
648,2017-07-31,145000,73,Appartement,3.090331,50.632496
650,2017-08-02,161500,42,Appartement,3.045515,50.635799
651,2017-08-03,177000,23,Appartement,3.106001,50.625963
652,2017-08-03,177000,38,Appartement,3.106001,50.625963
653,2017-08-03,177000,28,Appartement,3.106001,50.625963
654,2017-08-03,171500,76,Appartement,3.088772,50.633824
657,2017-07-31,180000,62,Appartement,3.06857,50.632988
659,2017-08-03,130000,49,Appartement,3.021752,50.63025
660,2017-07-13,100000,79,Maison,3.045241,50.6238
662,2017-08-02,230000,72,Appartement,3.053805,50.630152
665,2017-08-04,175000,42,Appartement,3.061908,50.648026
666,2017-07-31,119600,159,Maison,3.049956,50.62489
667,2017-07-21,143405,45,Appartement,3.055879,50.637445
668,2017-07-21,90000,64,Maison,3.093425,50.63377
669,2017-07-27,440000,25,Appartement,3.055529,50.63148
670,2017-07-27,440000,25,Appartement,3.055529,50.63148
671,2017-07-27,440000,25,Appartement,3.055529,50.63148
672,2017-07-27,440000,25,Appartement,3.055529,50.63148
673,2017-07-17,769050,140,Maison,3.053215,50.635396
674,2017-07-04,368000,45,Appartement,3.033857,50.621323
676,2017-07-04,368000,43,Appartement,3.033857,50.621323
677,2017-07-04,368000,45,Appartement,3.033857,50.621323
678,2017-07-27,132000,90,Maison,3.115272,50.624639
679,2017-07-19,185000,42,Appartement,3.05977,50.639697
681,2017-07-20,144000,41,Appartement,3.056832,50.648182
685,2017-07-25,338000,138,Maison,3.094837,50.646052
687,2017-07-12,320000,80,Appartement,3.054322,50.638337
688,2017-07-24,205000,84,Appartement,3.057066,50.642725
693,2017-07-21,90000,30,Appartement,3.044059,50.6305
695,2017-08-07,79500,20,Appartement,3.057058,50.627232
696,2017-08-04,164500,72,Appartement,3.051519,50.629328
697,2017-07-28,243550,78,Appartement,3.0667,50.632473
698,2017-08-01,422000,21,Appartement,3.089506,50.633139
699,2017-08-01,422000,17,Appartement,3.089506,50.633139
700,2017-08-01,422000,21,Appartement,3.089506,50.633139
701,2017-08-01,422000,16,Appartement,3.089506,50.633139
702,2017-08-01,422000,24,Appartement,3.089649,50.633173
703,2017-08-01,422000,22,Appartement,3.089649,50.633173
706,2017-07-31,90000,83,Maison,3.089572,50.625485
708,2017-07-24,235000,82,Appartement,3.059666,50.648226
710,2017-07-13,235000,60,Appartement,3.061908,50.648026
711,2017-07-26,460000,9,Appartement,3.061088,50.62935
712,2017-07-26,460000,92,Appartement,3.061088,50.62935
713,2017-07-26,460000,90,Appartement,3.061088,50.62935
714,2017-08-02,127500,44,Appartement,3.06729,50.633127
715,2017-07-31,136000,78,Appartement,3.043727,50.635981
716,2017-07-12,103000,28,Appartement,3.041871,50.632875
717,2017-07-27,75000,44,Maison,3.04424,50.621045
718,2017-08-01,584400,189,Maison,3.089332,50.642092
719,2017-08-02,116500,63,Maison,3.025773,50.630904
721,2017-07-13,222000,110,Appartement,3.085349,50.653191
722,2017-07-10,85000,31,Appartement,3.06729,50.633127
723,2017-07-19,105000,25,Appartement,3.059196,50.643284
726,2017-07-17,185000,73,Maison,3.043611,50.61059
727,2017-07-12,140000,27,Appartement,3.040544,50.632442
729,2017-07-13,141000,86,Maison,3.044998,50.610977
733,2017-07-10,54300,45,Appartement,3.068456,50.640564
734,2017-08-07,90000,27,Appartement,3.087537,50.645717
736,2017-08-07,178000,85,Maison,3.040071,50.61054
738,2017-08-07,135000,50,Appartement,3.034035,50.622001
739,2017-07-27,850000,300,Maison,3.040527,50.627032
740,2017-07-27,850000,55,Appartement,3.040501,50.626943
743,2017-07-12,270000,59,Appartement,3.052696,50.624486
744,2017-07-12,270000,35,Appartement,3.052696,50.624486
746,2017-08-03,110000,35,Appartement,3.069551,50.628801
748,2017-07-25,89000,27,Appartement,3.053019,50.646106
750,2017-07-28,232000,63,Appartement,3.074297,50.619673
751,2017-07-28,267706,91,Appartement,3.074297,50.619673
754,2017-08-01,262706,83,Appartement,3.080442,50.622551
758,2017-07-27,249726,83,Appartement,3.074297,50.619673
759,2017-08-04,200000,130,Maison,3.058735,50.622223
760,2017-08-03,281500,89,Appartement,3.024504,50.631683
763,2017-07-27,315000,67,Appartement,3.059283,50.638919
765,2017-08-02,233000,73,Appartement,3.06968,50.631386
767,2017-07-20,200000,70,Appartement,3.044944,50.625947
768,2017-07-20,117000,30,Appartement,3.05833,50.648089
770,2017-07-28,122700,51,Appartement,3.038772,50.628595
771,2017-08-03,325000,110,Appartement,3.060564,50.636458
772,2017-07-20,165000,46,Appartement,3.05716,50.647862
774,2017-07-20,177300,106,Maison,3.044904,50.611238
777,2017-07-21,100000,61,Appartement,3.086161,50.632309
778,2017-07-19,210000,44,Appartement,3.028439,50.634314
779,2017-07-19,210000,16,Appartement,3.028439,50.634314
782,2017-07-19,210000,60,Appartement,3.028439,50.634314
783,2017-07-19,210000,50,Appartement,3.028439,50.634314
785,2017-07-17,107000,45,Appartement,3.03373,50.627021
787,2017-07-20,345000,1,Appartement,3.073341,50.623941
788,2017-07-20,345000,125,Appartement,3.073443,50.62394
789,2017-07-19,415000,15,Appartement,3.086656,50.63205
790,2017-07-19,415000,42,Appartement,3.086656,50.63205
792,2017-07-19,415000,30,Appartement,3.086656,50.63205
793,2017-07-19,415000,20,Appartement,3.086656,50.63205
794,2017-07-19,415000,43,Appartement,3.086656,50.63205
795,2017-07-19,415000,22,Appartement,3.086656,50.63205
796,2017-07-19,415000,20,Appartement,3.086656,50.63205
798,2017-07-19,415000,12,Appartement,3.086656,50.63205
799,2017-07-19,415000,20,Appartement,3.086656,50.63205
803,2017-07-17,428000,134,Maison,3.056821,50.624836
804,2017-07-20,143500,50,Appartement,3.071816,50.623976
806,2017-07-31,350000,26,Appartement,3.040314,50.631868
807,2017-07-31,350000,56,Appartement,3.040314,50.631868
808,2017-07-31,350000,24,Appartement,3.040314,50.631868
810,2017-07-18,370000,102,Appartement,3.05684,50.635126
815,2017-08-11,500000,60,Appartement,3.08814,50.631997
