,rowid,date_mutation,longitude,latitude
14952,32380,2020-01-16,3.065527,50.629422
14953,32383,2020-01-29,3.067301,50.622846
14954,32385,2020-01-17,3.037459,50.623929
14955,32387,2020-01-31,3.066733,50.632872
14956,32389,2020-01-17,3.06034,50.646468
14957,32390,2020-01-23,3.051559,50.612685
14958,32392,2020-02-03,3.02588,50.615639
14959,32393,2020-01-15,3.048831,50.632889
14960,32397,2020-01-30,3.075292,50.637407
14961,32399,2020-01-14,3.052883,50.623477
14962,32404,2020-01-29,3.067347,50.636625
14963,32405,2020-02-05,3.041453,50.630808
14964,32407,2020-02-05,3.039129,50.623623
14965,32408,2020-02-01,3.100064,50.62978
14966,32410,2020-02-05,3.041453,50.630808
14967,32412,2020-02-05,3.039129,50.623623
14968,32418,2020-01-31,3.052883,50.623477
14969,32419,2020-02-06,3.051312,50.628995
14970,32421,2020-02-06,3.042786,50.632683
14971,32426,2020-01-30,3.056634,50.637224
14972,32427,2020-02-11,3.084853,50.63791
14973,32431,2020-01-30,3.041606,50.6241
14974,32435,2020-02-06,3.072547,50.61263
14975,32438,2020-01-29,3.058431,50.639725
14976,32439,2020-02-03,3.069146,50.621682
14977,32440,2020-01-31,3.050901,50.628838
14978,32445,2020-02-07,3.044041,50.615267
14979,32448,2020-02-03,3.069146,50.621682
14980,32449,2020-01-17,3.059126,50.646024
14981,32452,2020-02-04,3.083608,50.638995
14982,32453,2020-02-06,3.056115,50.639409
14983,32454,2020-01-22,3.063756,50.624503
14984,32455,2020-02-06,3.087494,50.632494
14985,32458,2020-01-17,3.041468,50.626369
14986,32460,2020-01-21,3.073496,50.619716
14987,32464,2020-02-07,3.115184,50.625282
14988,32467,2020-02-10,3.066112,50.636467
14989,32471,2020-01-29,3.059587,50.627517
14990,32475,2020-01-27,3.080417,50.64144
14991,32479,2020-01-31,3.067954,50.638495
14992,32481,2020-01-28,3.080372,50.621588
14993,32483,2020-01-31,3.063434,50.62074
14994,32484,2020-01-31,3.063434,50.62074
14995,32486,2020-01-31,3.063434,50.62074
14996,32488,2020-01-27,3.034511,50.622012
14997,32489,2020-02-03,3.054053,50.641116
14998,32491,2020-02-04,3.059944,50.627131
