,rowid,longitude,latitude
566,6494,3.003847,50.630703
567,6497,3.018594,50.6398
568,6498,3.010121,50.630075
569,6499,2.999739,50.648856
570,6500,3.001243,50.645525
571,6502,3.019039,50.636423
572,6505,3.00381,50.630777
573,6511,2.975253,50.659216
574,6517,3.006253,50.629243
575,6521,3.015445,50.640614
576,6525,3.00675,50.635914
577,6526,2.98082,50.642612
578,6527,3.006179,50.648657
579,6538,2.995245,50.645109
580,6540,3.014802,50.630848
581,6572,,
582,6576,3.014802,50.630848
583,6577,3.018505,50.63697
584,6578,3.001521,50.647255
585,6579,3.006186,50.631055
586,6580,2.982533,50.647672
587,6581,2.983317,50.64825
588,6583,3.01296,50.635647
589,6590,3.014802,50.630848
590,6593,3.002934,50.630563
591,6595,2.9746,50.640951
592,6597,3.009512,50.634227
593,6599,3.015401,50.628666
594,6608,2.985157,50.641478
595,6619,3.003588,50.630941
596,6620,3.018644,50.636857
597,6621,2.990812,50.637303
598,6622,2.987178,50.639204
599,6625,2.986423,50.643527
600,6626,2.993038,50.645341
601,6633,2.986899,50.649341
602,6636,2.975723,50.645111
603,6641,3.012831,50.628402
604,6642,3.003607,50.646865
605,6669,3.011245,50.628694
606,6670,3.01091,50.636951
607,6683,2.9881,50.637949
608,6686,3.012357,50.637615
609,6687,3.011929,50.636994
610,6688,3.011029,50.634286
611,6702,3.016485,50.635282
612,6703,3.003137,50.646932
613,6707,2.986863,50.64745
614,6716,2.974615,50.644211
615,6727,,
616,6729,2.987443,50.646259
617,6731,2.987701,50.646302
618,6732,2.987574,50.646316
619,6743,2.995345,50.645262
620,6748,2.994335,50.645393
621,6751,3.016421,50.637318
622,6753,3.017871,50.638285
623,6754,2.989391,50.644435
624,6755,3.008525,50.632438
625,6757,3.003735,50.645805
626,6758,3.013707,50.640541
627,6767,2.98919,50.641831
628,6768,2.98919,50.641831
629,6773,,
630,6774,3.006763,50.634276
631,6777,3.01446,50.631675
632,6796,3.014802,50.630848
633,6798,3.014802,50.630848
634,6800,3.014802,50.630848
635,6802,3.014802,50.630848
636,6811,3.014802,50.630848
637,6816,3.008438,50.633922
638,6822,2.992744,50.653293
639,6823,3.016511,50.640587
640,6831,,
641,6832,3.004788,50.632293
642,6834,3.005795,50.627922
643,6849,3.013879,50.631085
644,6855,3.01804,50.6394
645,6857,3.002232,50.631049
646,6864,3.080858,50.639693
647,6866,3.095018,50.631674
648,6867,3.115041,50.628957
649,6868,3.091896,50.637244
650,6876,3.089133,50.65531
651,6900,3.083406,50.64418
652,6908,3.096334,50.631759
653,6909,3.065439,50.622344
654,6910,3.026164,50.634723
655,6922,3.101039,50.633364
656,6936,3.075516,50.623506
657,6937,3.089697,50.624647
658,6939,3.092963,50.623468
659,6952,3.114131,50.626523
660,6953,3.069637,50.611841
661,6954,,
662,6964,3.021404,50.635285
663,6979,3.04613,50.614804
664,6986,3.11587,50.630373
665,6989,3.070645,50.621034
666,7007,3.100749,50.625597
667,7018,3.087458,50.618784
668,7019,3.090627,50.629993
669,7020,3.053677,50.611901
670,7049,3.086743,50.644935
671,7053,3.091894,50.623491
672,7057,3.090289,50.649752
673,7070,3.029173,50.631385
674,7092,3.090996,50.634262
675,7093,3.093842,50.633436
676,7098,3.111451,50.63038
677,7101,3.02697,50.632643
678,7115,3.059676,50.644744
679,7116,3.060429,50.642991
680,7124,3.105148,50.63462
681,7125,3.105148,50.63462
682,7134,3.062297,50.619338
683,7149,3.022849,50.636397
684,7171,3.100218,50.622045
685,7176,3.105384,50.627191
686,7196,3.111595,50.62956
687,7200,3.084669,50.636432
688,7208,3.058804,50.620716
689,7212,3.094401,50.631966
690,7219,3.061812,50.620164
691,7220,3.097659,50.631586
